Sample_ID,qpcr_Virus
7B27A,0.0000933
6B27A,0.004
11B27A,0.01
5B27A,0.21
3B27A,0.41
8B27A,0.78
9B27A,3
1B27A,4
12B27A,13
21B27A,15
18B27A,26
4B27A,144
13B27A,389
14B27A,3739
10B27A,4280
16B27A,131359
23B27A,147221
2B27A,236870
20B27A,328392
26B27A,348353
24B27A,361098
25B27A,390429
17B27A,855866
19B27A,1302175
6B27L,0.02
1B27L,0.14
8B27L,0.16
3B27L,0.92
7B27L,1.45
11B27L,2.64
12B27L,8
5B27L,9
9B27L,19
18B27L,131
21B27L,448
2B27L,470
14B27L,935
4B27L,956
23B27L,2234
13B27L,2839
10B27L,3740
26B27L,6331
16B27L,9253
19B27L,11328
25B27L,11832
24B27L,15605
20B27L,31642
17B27L,52096
