Run	Number_of_input_reads	Uniquely_mapped_reads_number_Genome	Uniquely_mapped_reads_number_Virus	Library.Name	Age	Tissue	study	BioProject	SRA_Study	Study_Nickname	Age_True	cohort					
SRR12061185	18513932	16443973	6590	P90	12	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	12.5	77					
SRR12061186	19133161	16915948	18323	P89	12	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	12.5	77					
SRR12061194	19285750	16870984	47556	P82	12	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	12.5	77					
SRR12061195	18232626	15571760	7891	P81	12	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	12.5	77					
SRR12061202	13796837	12284528	8231	P74	12	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	12.5	77					
SRR12061205	34220711	30488189	50613	P72	12	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	12.77	77					
SRR12061206	24118852	20806150	4448	P71	12	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	12.77	77					
SRR12061207	12828433	11190213	11503	P47	12	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	12.5	77					
SRR12061208	12681241	11383691	10049	P46	12	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	12.5	77					
SRR12061209	7633972	6718647	8518	P45	12	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	12.5	77					
SRR12061221	19014114	16465686	36439	P34	12	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	12.5	77					
SRR12061243	15046142	12957386	30888	P17	12	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	12.5	77					
SRR6871213	5910036	3388891	1459213	Aged_6_PVC	12	PVC	Greer 2018	PRJNA439306	SRP136115 	Greer_PVC	12.43	31					
SRR6871214	7934918	3519553	3261232	Aged_5_PVC	12	PVC	Greer 2018	PRJNA439306	SRP136115 	Greer_PVC	12.43	28					
SRR6871215	8360832	4534149	2681247	Aged_4_PVC	12	PVC	Greer 2018	PRJNA439306	SRP136115 	Greer_PVC	12.43	31					
SRR6871216	9501177	6570408	1274499	Aged_3_PVC	12	PVC	Greer 2018	PRJNA439306	SRP136115 	Greer_PVC	12.43	28					
SRR6871217	9999252	5934756	2497677	Aged_2_PVC	12	PVC	Greer 2018	PRJNA439306	SRP136115 	Greer_PVC	12.27	31					
SRR6871218	10364811	6865223	664512	Aged_1_PVC	12	PVC	Greer 2018	PRJNA439306	SRP136115 	Greer_PVC	12.27	28					
SRR12061179	18340471	16251545	6490	P95	11	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	11.6	77					
SRR12061187	20554657	17953700	16311	P88	11	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	11.6	77					
SRR12061189	18971670	16811039	142	P86	11	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	11.6	77					
SRR12061196	19691399	17110688	164	P80	11	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	11.6	77					
SRR12061210	17106076	15027090	21720	P44	11	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	11.6	77					
